filename,label_hash,defect_pattern,confidence,reasoning,alternative,encord_written,model,error
732235.jpg,dd2431dd-9a60-4b31-b774-4d35678e1954,none,0.95,"The wafer map consists almost entirely of green pixels with negligible red pixels, indicating a high-yield wafer without a discernible defect pattern.",,True,models/gemini-3.1-flash-lite,
806785.jpg,5cb6e812-d43d-41ec-9fd7-5ef5fd4e166c,none,0.95,"The wafer shows a very high yield with only a negligible number of sparsely scattered red pixels, which does not constitute a specific spatial pattern.",random,True,models/gemini-3.1-flash-lite,
755691.jpg,e1e3e65d-d79c-498c-b9c5-02f73d2a47b8,center,0.95,"The failed dies are heavily concentrated in a circular, dense cluster at the center of the wafer.",loc,True,models/gemini-3.1-flash-lite,
757377.jpg,73b745f7-93a0-4e19-8716-cfd8bcd73213,none,0.95,"The wafer map shows a high density of green good dies with only a negligible, scattered number of red pixels that do not form any discernible geometric or systematic pattern.",random,True,models/gemini-3.1-flash-lite,
764611.jpg,4b55dc0e-ac32-4ff6-a3ab-45628343e440,none,0.95,"The wafer map contains very few isolated red pixels, indicating a clean wafer without any significant defect patterns.",random,True,models/gemini-3.1-flash-lite,
723088.jpg,c6fe8951-cd32-443b-bd86-ffd744e819fb,none,0.95,"The wafer map consists almost entirely of green pixels with very few scattered red pixels, indicating a clean wafer with no significant spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
764863.jpg,64df2fb3-8191-4fa5-b65a-b73370cd98cb,none,0.95,"The wafer shows a very low density of randomly scattered failed dies, which is consistent with typical random background defectivity rather than a specific systematic pattern.",random,True,models/gemini-3.1-flash-lite,
764493.jpg,8c418c6e-df8a-4a40-9c9d-5e789c39f724,none,0.95,The wafer shows a very high yield with only a negligible amount of randomly scattered red pixels that do not form a distinct spatial signature.,random,True,models/gemini-3.1-flash-lite,
646177.jpg,6e2cb234-169e-43f0-9960-3726cb97a34b,none,0.95,"The wafer shows a very high density of green passing dies with only a few isolated, scattered red pixels, which does not constitute a specific spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
807593.jpg,c18d0c23-9b2e-44a5-beab-ccf078b72020,none,0.95,"The wafer shows a very high yield with only a negligible amount of randomly scattered red pixels, indicating no significant spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
761305.jpg,2ccbff24-9d17-448a-bcfd-139fa07fb132,center,0.95,The failed (red) dies are highly concentrated in a circular cluster located at the center of the wafer.,,True,models/gemini-3.1-flash-lite,
809041.jpg,075e1137-62af-4136-b32e-26a6bac631b1,none,0.95,"The wafer map contains almost exclusively green pixels representing functional dies with a negligible, scattered number of isolated red defects, indicating a clean wafer.",random,True,models/gemini-3.1-flash-lite,
642989.jpg,36dde4b2-4463-4942-a28d-74aa40205c8f,none,0.95,"The wafer shows a high density of bright green pixels with only a negligible, scattered presence of red pixels, indicating a clean wafer with no systematic defect pattern.",random,True,models/gemini-3.1-flash-lite,
683806.jpg,d837b8bc-42f9-456d-9796-ae498b4723e8,none,0.95,"The wafer map is predominantly composed of green (passing) dies with only a very small, negligible number of scattered red (failing) pixels, indicating a clean wafer.",random,True,models/gemini-3.1-flash-lite,
764778.jpg,9a04727b-019a-427c-9fdd-6cd9d427394f,none,0.95,"The wafer map shows a very high density of green good dies with only a negligible amount of scattered red pixels, characteristic of a clean wafer.",random,True,models/gemini-3.1-flash-lite,
727923.jpg,3c797ec9-3328-407f-89af-3f6b914376b8,none,0.95,"The wafer shows a very high density of green dies with only a minimal, scattered distribution of isolated red pixels, which does not constitute a clear spatial pattern.",random,True,models/gemini-3.1-flash-lite,
764463.jpg,a6f03c28-5505-471c-b817-f3c3de919bea,none,0.95,The wafer shows a very low density of failed (red) dies scattered randomly across the surface without any distinct spatial structure.,random,True,models/gemini-3.1-flash-lite,
809260.jpg,e6783b7f-4932-480d-875e-4936334b0410,none,0.95,"The wafer shows a high density of green good dies with very few scattered red pixels, indicating a clean wafer with no identifiable systematic failure pattern.",random,True,models/gemini-3.1-flash-lite,
810308.jpg,24e4b9cf-f1c2-406e-8e28-7ce0e6bd3088,none,0.95,"The wafer map is predominantly composed of green pixels representing functional dies, with only a negligible number of scattered red pixels that do not form any coherent spatial pattern.",random,True,models/gemini-3.1-flash-lite,
641447.jpg,c5c1870b-a986-46b8-a98c-ba677f1610f5,none,0.95,The wafer shows a very low density of randomly distributed failed dies that do not form any coherent spatial signature.,random,True,models/gemini-3.1-flash-lite,
764340.jpg,2150a8de-7572-488f-8b20-655216336784,none,0.95,"The wafer shows a very high density of green good dies with only a negligible, scattered distribution of isolated red pixels, indicating a clean wafer.",random,True,models/gemini-3.1-flash-lite,
805200.jpg,977fda93-d0e0-47d7-a2f4-82903538c535,center,0.95,"The failed dies form a dense, concentrated circular cluster located primarily in the central region of the wafer.",loc,True,models/gemini-3.1-flash-lite,
805893.jpg,4054ea64-5a74-44aa-bda4-b5717661606b,none,0.95,"The wafer shows a high density of green (good) dies with only a few isolated, scattered red pixels, which does not constitute a discernible spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
805774.jpg,6723ecbe-ba8a-4f70-8d5f-768e8198e8c7,none,0.95,"The wafer shows a high density of functional dies with very few, isolated red pixels that do not form any discernible spatial pattern.",random,True,models/gemini-3.1-flash-lite,
686597.jpg,c833b5b6-b45b-4a00-9e46-9c0ca6a59537,none,0.95,"The wafer shows a very high yield with only a few isolated red pixels scattered across the surface, indicating no significant spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
762821.jpg,36fc11fc-9f1b-44ec-9a8e-71113c20fdf7,none,0.95,"The wafer shows a very high density of green good dies with only a negligible, scattered number of red pixels that do not form any discernible geometric pattern.",random,True,models/gemini-3.1-flash-lite,
809039.jpg,5904461c-248d-4066-98b0-783b25e9594c,none,0.95,"The wafer shows a very high density of green good dies with only a negligible, random distribution of isolated red pixels, indicating a clean wafer.",random,True,models/gemini-3.1-flash-lite,
720828.jpg,09f46f6b-599b-43c2-ba22-462bd5dd21a9,none,0.95,"The wafer shows a very high yield with only a negligible number of sparsely scattered red pixels, indicating no systematic spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
806749.jpg,2d819724-ca34-4099-866d-bbb48a6fddcc,none,0.95,"The wafer shows a very high yield with only a negligible number of scattered red pixels, indicating no significant systematic failure pattern.",random,True,models/gemini-3.1-flash-lite,
682743.jpg,bc64342e-bdde-46a0-af32-6cf32a371a0e,none,0.95,"The wafer shows a very high yield with only a negligible number of scattered red pixels, which does not constitute a specific spatial pattern.",random,True,models/gemini-3.1-flash-lite,
807259.jpg,cbd8adee-9075-4351-ae86-d6275836816a,none,0.95,"The wafer map contains very few isolated red pixels scattered sparsely, which does not constitute a significant spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
651816.jpg,4e972f4d-b99a-4707-9866-5a772551d707,near-full,0.95,"The vast majority of the wafer is covered in red pixels, indicating a catastrophic failure rate significantly exceeding 60%.",,True,models/gemini-3.1-flash-lite,
792750.jpg,aec23550-a407-481c-8921-be0305baa9a4,none,0.95,"The wafer map shows a very high density of green (passing) dies with only a negligible, scattered presence of red (failing) pixels, indicating a clean wafer.",random,True,models/gemini-3.1-flash-lite,
691371.jpg,3e7aea2a-5d33-45d8-98bc-7174ab4fda4b,none,0.95,"The wafer shows a high density of pass-test green dies with only a few isolated or scattered red pixels, indicating no significant or patterned defect cluster.",random,True,models/gemini-3.1-flash-lite,
687416.jpg,e6a58d42-f7a9-473b-8715-8c24b9be7973,none,0.95,"The wafer map shows a very high percentage of functioning dies (bright green) with only a few isolated or scattered red pixels, indicating no significant spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
692645.jpg,5492928e-70a8-4e42-adbd-e68f6f44e3e5,none,0.95,"The wafer shows a very high density of good (green) dies with only a negligible, randomly distributed amount of failing (red) pixels.",random,True,models/gemini-3.1-flash-lite,
764507.jpg,f40de5a4-2e20-4134-958b-baabf316d383,none,0.95,"The wafer map is predominantly composed of good dies (green) with only a very small, negligible number of scattered red pixels, indicating no significant defect pattern.",random,True,models/gemini-3.1-flash-lite,
678673.jpg,21058f03-01c5-439d-93ef-4f86e18fd643,none,0.95,"The wafer shows a very high percentage of good dies (green) with only a negligible and randomly distributed number of failed dies (red), indicating no distinct pattern.",random,True,models/gemini-3.1-flash-lite,
764727.jpg,41a949f5-9cb8-42c5-b82a-ff1544f52ae1,none,0.95,"The wafer shows a very high density of green good dies with only a negligible, scattered number of individual red failure pixels, indicating a clean wafer.",random,True,models/gemini-3.1-flash-lite,
760845.jpg,0fb05541-24dd-4945-b71c-62b2f15b9296,none,0.95,"The wafer shows a high density of functional (green) dies with only a negligible amount of randomly distributed failed pixels, indicating a clean wafer without a systematic defect pattern.",random,True,models/gemini-3.1-flash-lite,
805629.jpg,5d43ccf5-e2d0-45a1-bc90-dd6460c2bc21,none,0.95,The wafer map is predominantly composed of green (passing) dies with only a few isolated red (failing) pixels that do not form any discernible spatial pattern.,random,True,models/gemini-3.1-flash-lite,
808270.jpg,3465bdb6-f3b0-40db-9ad7-bb97675e8ffe,none,0.95,"The wafer map shows a very high density of green good dies with only a few isolated, randomly distributed red pixels, indicating a healthy wafer without a systemic defect pattern.",random,True,models/gemini-3.1-flash-lite,
659673.jpg,bd9867ae-f536-41e4-843e-5b94c5eb4c17,none,0.95,"The wafer map shows a high density of good (green) dies with only a negligible number of scattered red pixels, indicating a clean wafer.",random,True,models/gemini-3.1-flash-lite,
764377.jpg,c3fafa0d-671f-4295-97bc-5978e35d0eee,none,0.95,"The wafer shows a very high yield with only a negligible number of scattered red pixels, which does not constitute a discernible spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
758049.jpg,ad0a6b7e-c82a-4e7a-a480-2fed4bc58417,none,0.95,"The wafer shows a very high percentage of passing (green) dies with only a few isolated, randomly distributed red pixels, which does not constitute a specific spatial pattern.",random,True,models/gemini-3.1-flash-lite,
773253.jpg,ea1fc1a1-dd1e-4c43-9b11-6a0764c3e88d,none,0.95,"The wafer shows a very high density of pass (green) dies with only a negligible number of isolated red pixels, indicating a clean wafer without a systematic defect pattern.",random,True,models/gemini-3.1-flash-lite,
805872.jpg,f2307ae8-8530-444a-9ee7-6a3fbfca360e,none,0.95,"The wafer map consists almost entirely of bright green pixels representing good dies, with no clear clusters or patterns of failed (red) dies, indicating a clean wafer.",random,True,models/gemini-3.1-flash-lite,
764522.jpg,9af14d7f-da8c-4285-a0ae-45037c758d35,none,0.95,The wafer map contains only a negligible number of isolated failed dies that do not form any discernible spatial pattern.,random,True,models/gemini-3.1-flash-lite,
806607.jpg,8992b87a-5fbe-4a53-a817-1100396800df,none,0.95,"The wafer shows a very high density of green dies with only a negligible, scattered presence of red pixels, indicating a clean wafer with no identifiable systematic defect pattern.",random,True,models/gemini-3.1-flash-lite,
680688.jpg,fbffbe04-0b1a-475f-9102-a784b82c8658,none,0.95,"The wafer shows a high density of functional (green) dies with only a very sparse and scattered distribution of individual failing (red) pixels, indicating no significant spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
809023.jpg,3bcca8dc-ad1d-42dc-8422-4c4499975f08,none,0.95,"The wafer map shows a high density of passing (green) dies with very few scattered failing (red) pixels, consistent with a clean wafer.",random,True,models/gemini-3.1-flash-lite,
679609.jpg,f0552ccc-3b03-421d-807b-db5cad200a8c,none,0.95,The wafer shows a very low density of randomly scattered failing dies with no discernible spatial clustering or systematic pattern.,random,True,models/gemini-3.1-flash-lite,
764536.jpg,9747cd05-03c8-4c55-b94b-c1929e442ece,none,0.95,"The wafer shows a high density of functional (green) dies with only a negligible amount of randomly distributed failed (red) pixels, indicating a clean wafer.",random,True,models/gemini-3.1-flash-lite,
809102.jpg,96229380-111c-4b43-b866-1fbdea469281,none,0.95,"The wafer is almost entirely comprised of bright green pixels indicating good dies, with only a negligible and scattered number of red pixels present.",random,True,models/gemini-3.1-flash-lite,
696055.jpg,596ec819-fdd1-46df-8395-fce86698bfd0,none,0.95,"The wafer shows a very high density of good (green) dies with only a negligible, sparse number of isolated red pixels, indicating no significant spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
655870.jpg,fd3f3c79-9f9a-465f-83e8-556ca188e5c2,none,0.95,"The wafer map shows a very high density of green (passing) dies with only a few isolated, randomly scattered red (failed) pixels, indicating a clean wafer with no systematic pattern.",random,True,models/gemini-3.1-flash-lite,
759637.jpg,f19253bb-ad55-4d67-ab51-6e233439f78d,none,0.95,"The wafer map shows a very high density of good (green) dies with only a few isolated, scattered red pixels, which does not constitute a specific spatial pattern.",random,True,models/gemini-3.1-flash-lite,
763662.jpg,a3c8bcc0-a6d4-43ea-a057-80188056c0ea,none,0.95,"The wafer is almost entirely comprised of good dies with only a very small, negligible amount of scattered red pixels, characteristic of a clean wafer.",random,True,models/gemini-3.1-flash-lite,
724684.jpg,6979a62e-fdbf-4a5c-b0ec-5631a2b58535,none,0.95,"The wafer map is predominantly composed of green (passing) dies with only a negligible amount of scattered red pixels, which does not constitute a discernible spatial failure pattern.",random,True,models/gemini-3.1-flash-lite,
774858.jpg,7656503d-9085-4da3-93d9-092f5a49037f,none,0.95,"The wafer map contains very few isolated red pixels, indicating a clean wafer without any significant spatial defect patterns.",random,True,models/gemini-3.1-flash-lite,
807095.jpg,79048cd5-dff0-476a-a366-54096e0bfc89,none,0.95,"The wafer shows a very high yield of good dies with only a minimal, sparse distribution of red pixels, indicating no significant or patterned defect.",random,True,models/gemini-3.1-flash-lite,
796683.jpg,202a59ff-2ffe-45e4-adb9-feb6035c0f4f,none,0.95,"The wafer shows a very high density of passing dies with only a minimal, sparse number of isolated red pixels, indicating a healthy wafer with no discernible defect pattern.",random,True,models/gemini-3.1-flash-lite,
809096.jpg,e25cd20f-9887-4e22-b478-1d856402f5d7,none,0.95,"The wafer shows a very low density of randomly distributed red pixels with no discernible spatial clustering or systematic pattern, indicating it is essentially clean.",random,True,models/gemini-3.1-flash-lite,
809163.jpg,9dbcd0b8-4125-4d31-b610-2a16249ecddb,none,0.95,"The wafer shows a very high density of green good dies with only a negligible, scattered distribution of red defective pixels, indicating a clean wafer.",random,True,models/gemini-3.1-flash-lite,
810604.jpg,cea26ffd-1933-464c-bbff-7d308184a3db,none,0.95,"The wafer map contains very few isolated red pixels, indicating a very low failure rate with no clear spatial organization.",random,True,models/gemini-3.1-flash-lite,
764683.jpg,59ae8935-e4e3-4854-9b46-c95993eaf665,center,0.95,The failed (red) dies are highly concentrated in a circular cluster located at the center of the wafer.,loc,True,models/gemini-3.1-flash-lite,
805907.jpg,72f72a83-27ff-4c6a-9174-0ec4f8646007,none,0.95,"The wafer shows a very high density of green good dies with only a negligible, scattered distribution of red pixels, which does not constitute a clear spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
811440.jpg,18c2f3b5-0624-46aa-81b5-71abc1c5b53d,none,0.95,"The wafer shows almost entirely good dies (bright green) with a negligible number of scattered red pixels, characteristic of a clean wafer.",random,True,models/gemini-3.1-flash-lite,
762126.jpg,83c2162b-19a3-4881-8748-12a23da46c2b,none,0.95,"The wafer map contains a very small, sparse distribution of isolated red pixels that do not form any coherent geometric pattern, indicating a clean wafer with minimal random defects.",random,True,models/gemini-3.1-flash-lite,
762236.jpg,01992e26-c93b-482f-977f-0a12b4c7ea72,none,0.95,"The wafer map is predominantly composed of green (passing) dies with only a negligible amount of scattered red pixels, which does not constitute a discernible spatial defect pattern.",random,True,models/gemini-3.1-flash-lite,
805458.jpg,472f670c-02a2-487c-a8f6-ff1844befe13,none,0.95,"The wafer map contains an extremely low density of scattered red pixels, which does not constitute a distinct spatial pattern.",random,True,models/gemini-3.1-flash-lite,
806911.jpg,fe67a583-b485-4ed1-8a36-48d308ec0a93,none,0.95,"The wafer shows a very high yield with only a negligible number of scattered red pixels, which does not constitute a discernible spatial pattern.",random,True,models/gemini-3.1-flash-lite,
712477.jpg,26bb9397-b4cd-4a79-8125-66dcdd4632b6,none,0.95,"The wafer map is predominantly composed of green (good) dies with only a few isolated, scattered red pixels, indicating a clean wafer with no systemic defect pattern.",random,True,models/gemini-3.1-flash-lite,
764761.jpg,0cd4955b-3471-42a3-8e8b-73cc9cc56747,none,0.95,"The wafer map contains very few isolated red pixels, which are randomly distributed and do not form any discernible structural or systematic defect pattern.",random,True,models/gemini-3.1-flash-lite,
806734.jpg,01d10c6e-a61d-48c4-a9c2-6e3397da8e5d,none,0.95,"The wafer shows a very high yield with only a few isolated, randomly scattered defective dies that do not form any discernible spatial signature.",random,True,models/gemini-3.1-flash-lite,
648236.jpg,71d13c83-0921-4f03-9600-3fe977244a8d,none,0.95,"The wafer shows a very high yield of good dies with only a minimal, sparse distribution of random failed dies, typical of a clean wafer.",random,True,models/gemini-3.1-flash-lite,
713551.jpg,03ee0f48-fad0-416f-954d-cbc020239669,center,0.95,The defective dies are densely clustered in a roughly circular formation located in the central region of the wafer.,loc,True,models/gemini-3.1-flash-lite,
761994.jpg,dc0f81fd-992e-49f5-bfd2-651060f0e461,none,0.95,"The wafer shows a very high density of successful dies with only a few isolated, scattered points of failure, which does not constitute a clear spatial pattern.",random,True,models/gemini-3.1-flash-lite,
764289.jpg,0fd84503-24d8-4b26-af4d-f7fcce72fd7b,none,0.95,"The wafer shows a very high yield with only a negligible amount of scattered failed dies, which does not constitute a specific spatial pattern.",random,True,models/gemini-3.1-flash-lite,
805918.jpg,7904ec7d-2d99-4bc5-aa8e-68efaeb44d9f,none,0.95,"The wafer map is predominantly composed of green pixels representing functional dies, with only a negligible and scattered number of red defective pixels, indicating a clean wafer.",random,True,models/gemini-3.1-flash-lite,
764805.jpg,153ff3c2-d4bd-4741-bdbf-2e6a5684dd20,none,0.95,"The wafer shows a high density of good (green) dies with only a few scattered isolated red pixels, indicating no significant systematic defect pattern.",random,True,models/gemini-3.1-flash-lite,
810087.jpg,be047771-d741-4fa4-86e9-e153c3212618,center,0.95,"The failed dies are heavily concentrated in a dense, roughly circular cluster located at the center of the wafer.",loc,True,models/gemini-3.1-flash-lite,
